Kode,Teks Pertanyaan Observasi,Kategori,Kelompok Usia
E1,Dapat menjelaskan jalan cerita dari buku yang dibacanya,General Intellectual,early_elementary
E10,Suka mengarang cerita imajinatif atau membuat gambar komik sederhana,Creative Thinking,early_elementary
E11,Mampu menemukan solusi alternatif saat mainannya rusak,Creative Thinking,early_elementary
E12,Menunjukkan minat tinggi pada kegiatan kerajinan tangan (crafting),Creative Thinking,early_elementary
E13,Mampu memimpin kelompok kecil dalam permainan atau tugas sekolah,Leadership,early_elementary
E14,Mengalah demi kepentingan bersama saat bermain dengan teman,Leadership,early_elementary
E15,Mampu menyiapkan perlengkapan sekolahnya sendiri setiap hari,Leadership,early_elementary
E16,Menyelesaikan tugas pekerjaan rumah (PR) tepat waktu secara mandiri,Leadership,early_elementary
E17,Mampu menggambar objek dengan detail yang cukup baik (misal ada bayangan/proporsi),Visual & Performing Arts,early_elementary
E18,Suka mewarnai dengan kombinasi warna yang harmonis,Visual & Performing Arts,early_elementary
E19,Mampu menyanyikan lagu dengan nada yang tepat (pitch control),Visual & Performing Arts,early_elementary
E2,Memiliki kosakata yang kaya dan mampu menggunakannya dalam kalimat yang benar,General Intellectual,early_elementary
E20,Percaya diri tampil menari atau menyanyi di depan kelas/keluarga,Visual & Performing Arts,early_elementary
E21,Lancar mengendarai sepeda roda dua tanpa bantuan roda samping,Psychomotor,early_elementary
E22,Mampu melakukan lompat tali (skipping) beberapa kali berturut-turut,Psychomotor,early_elementary
E23,Mampu menggunakan gunting dengan rapi untuk memotong pola yang rumit,Psychomotor,early_elementary
E24,Dapat meronce manik-manik kecil atau melipat kertas origami dengan rapi,Psychomotor,early_elementary
E3,Suka bermain puzzle yang membutuhkan pemikiran logis,General Intellectual,early_elementary
E4,Mampu mengidentifikasi sebab-akibat sederhana dalam kehidupan sehari-hari,General Intellectual,early_elementary
E5,Mampu melakukan penjumlahan dan pengurangan matematika dasar dengan lancar,Specific Academic,early_elementary
E6,Tertarik memecahkan teka-teki angka atau logika matematika,Specific Academic,early_elementary
E7,"Suka mengamat serangga, tanaman, atau fenomena alam di sekitar",Specific Academic,early_elementary
E8,"Tertarik membaca buku tentang antariksa, dinosaurus, atau tubuh manusia",Specific Academic,early_elementary
E9,Sering menemukan cara baru untuk merakit mainan block/lego,Creative Thinking,early_elementary
L1,"Mampu memahami konsep abstrak (seperti keadilan, toleransi, atau ekonomi dasar)",General Intellectual,late_elementary
L10,Sering memberikan ide-ide orisinal dalam proyek kelompok sekolah,Creative Thinking,late_elementary
L11,"Suka mengapresiasi karya seni, musik klasik, atau film dengan ulasan kritis sendiri",Creative Thinking,late_elementary
L12,"Tertarik mempelajari budaya, bahasa, atau sejarah daerah/negara lain",Creative Thinking,late_elementary
L13,Sering ditunjuk atau bersedia menjadi ketua kelas atau pemimpin kelompok,Leadership,late_elementary
L14,Mampu mengorganisir teman-teman untuk menyelesaikan proyek kelompok dengan baik,Leadership,late_elementary
L15,Mampu menerima kegagalan dalam lomba dengan sikap sportif dan positif,Leadership,late_elementary
L16,Mampu membantu menyelesaikan perselisihan antara teman-temannya secara adil,Leadership,late_elementary
L17,Mampu membuat lukisan atau karya seni tiga dimensi dengan teknik dan arsiran yang baik,Visual & Performing Arts,late_elementary
L18,Mahir menggunakan media digital untuk menggambar atau mengedit foto/video,Visual & Performing Arts,late_elementary
L19,"Bisa memainkan satu alat musik dengan baik (misal gitar, keyboard, atau biola)",Visual & Performing Arts,late_elementary
